line_id,ticket_number,user_card_id,payment_method,shop_name,shop_address,product_code,product_name,seccion,units,price_per_unit,price_total,created_at
9521661,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1057,CHAMPU ANTICASPA 400ML,Higiene,1,3.11,3.11,2025-01-24 20:24
9521662,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1028,YOGUR NATURAL PACK 4,Lacteos,1,1.51,1.51,2025-01-24 20:24
9521663,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1029,QUESO RALLADO 200G,Lacteos,1,2.38,2.38,2025-01-24 20:24
9521664,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1035,REFRESCO NARANJA 2L,Bebidas,1,1.77,1.77,2025-01-24 20:24
9521665,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1038,ZUMO NARANJA 1L,Bebidas,1,1.66,1.66,2025-01-24 20:24
9521666,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1041,HELADO VAINILLA 1L,Congelados,1,3.41,3.41,2025-01-24 20:24
9521667,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1044,PIZZA JAMON Y QUESO,Precocinados,1,3.44,3.44,2025-01-24 20:24
9521668,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1047,ENSALADA CESAR PREPARADA,Precocinados,1,2.75,2.75,2025-01-24 20:24
9521669,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1048,TORTILLA PATATA REFRIGERADA,Precocinados,1,2.98,2.98,2025-01-24 20:24
9521670,6566575,100758,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1054,ROLLO COCINA PACK 4,Drogueria,1,3.13,3.13,2025-01-24 20:24
9521671,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1025,MERLUZA FILETE KG,Frescos,1,9.72,9.72,2025-01-26 13:03
9521672,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1003,ARROZ REDONDO 1KG,Alimentacion seca,1,1.43,1.43,2025-01-26 13:03
9521673,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1037,VINO TINTO CRIANZA,Bebidas,1,5.09,5.09,2025-01-26 13:03
9521674,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1047,ENSALADA CESAR PREPARADA,Precocinados,2,2.77,5.54,2025-01-26 13:03
9521675,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1017,TOMATE RAMA KG,Frescos,1,1.99,1.99,2025-01-26 13:03
9521676,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1018,LECHUGA ICEBERG UD,Frescos,1,0.92,0.92,2025-01-26 13:03
9521677,6566576,101283,EFECTIVO,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1051,LAVAVAJILLAS MANO 750ML,Drogueria,4,1.45,5.8,2025-01-26 13:03
9521678,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1057,CHAMPU ANTICASPA 400ML,Higiene,1,3.17,3.17,2025-06-14 20:10
9521679,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1061,PAÑALES T4 PACK 44,Bebe,1,9.59,9.59,2025-06-14 20:10
9521680,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1063,POTITO FRUTA VARIADA,Bebe,1,1.17,1.17,2025-06-14 20:10
9521681,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1064,LECHE INFANTIL CONTINUACION,Bebe,1,12.69,12.69,2025-06-14 20:10
9521682,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1065,PAPILLA CEREALES 600G,Bebe,3,5.72,17.16,2025-06-14 20:10
9521683,6566577,100300,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1013,LENTEJAS PARDINA 1KG,Alimentacion seca,3,1.9,5.7,2025-06-14 20:10
9521684,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1057,CHAMPU ANTICASPA 400ML,Higiene,1,3.13,3.13,2025-02-19 09:43
9521685,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1063,POTITO FRUTA VARIADA,Bebe,1,1.14,1.14,2025-02-19 09:43
9521686,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1065,PAPILLA CEREALES 600G,Bebe,3,5.92,17.76,2025-02-19 09:43
9521687,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1036,CERVEZA PACK 6,Bebidas,1,3.46,3.46,2025-02-19 09:43
9521688,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1005,ATUN CLARO PACK 3,Alimentacion seca,1,2.83,2.83,2025-02-19 09:43
9521689,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1039,GUISANTES CONGELADOS 1KG,Congelados,1,2.13,2.13,2025-02-19 09:43
9521690,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1047,ENSALADA CESAR PREPARADA,Precocinados,3,2.84,8.52,2025-02-19 09:43
9521691,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1017,TOMATE RAMA KG,Frescos,1,2.09,2.09,2025-02-19 09:43
9521692,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1018,LECHUGA ICEBERG UD,Frescos,1,0.95,0.95,2025-02-19 09:43
9521693,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1019,PATATA KG,Frescos,1,1.26,1.26,2025-02-19 09:43
9521694,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1020,CEBOLLA KG,Frescos,3,1.02,3.06,2025-02-19 09:43
9521695,6566578,101371,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1021,PECHUGA POLLO BANDEJA,Frescos,1,4.51,4.51,2025-02-19 09:43
9521696,6566579,101206,EFECTIVO,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1025,MERLUZA FILETE KG,Frescos,1,10.75,10.75,2025-02-28 20:04
9521697,6566579,101206,EFECTIVO,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1029,QUESO RALLADO 200G,Lacteos,1,2.41,2.41,2025-02-28 20:04
