line_id,ticket_number,user_card_id,payment_method,shop_name,shop_address,product_code,product_name,seccion,units,price_per_unit,price_total,created_at
9521661,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1024,CEBOLLA KG,Frescos,1,1.13,1.13,2025-03-30 09:41
9521662,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1026,CARNE PICADA MIXTA 500G,Frescos,1,3.97,3.97,2025-03-30 09:41
9521663,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1037,YOGUR NATURAL PACK 4,Lacteos,1,1.45,1.45,2025-03-30 09:41
9521664,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1102,TOALLITAS BEBE PACK 3,Bebe,1,4.23,4.23,2025-03-30 09:41
9521665,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1039,MANTEQUILLA 250G,Lacteos,1,2.17,2.17,2025-03-30 09:41
9521666,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1104,LECHE INFANTIL CONTINUACION,Bebe,1,12.78,12.78,2025-03-30 09:41
9521667,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1105,PAPILLA CEREALES 600G,Bebe,2,5.97,11.94,2025-03-30 09:41
9521668,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1040,HUEVOS DOCENA M,Lacteos,1,2.49,2.49,2025-03-30 09:41
9521669,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1103,POTITO FRUTA VARIADA,Bebe,1,1.19,1.19,2025-03-30 09:41
9521670,6566575,102483,TARJETA,Carrefour Santiago Compostela,"Av. do Camiño Francés 1, Santiago",1109,CHUPETE PACK 2,Bebe,1,4.78,4.78,2025-03-30 09:41
9521671,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1026,CARNE PICADA MIXTA 500G,Frescos,1,3.98,3.98,2025-03-29 10:23
9521672,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1030,NARANJA KG,Frescos,1,1.44,1.44,2025-03-29 10:23
9521673,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1035,LECHE ENTERA BRIK 1L,Lacteos,3,0.89,2.67,2025-03-29 10:23
9521674,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1007,CAFE MOLIDO 250G,Alimentacion seca,1,2.7,2.7,2025-03-29 10:23
9521675,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1008,AZUCAR BLANCO 1KG,Alimentacion seca,1,1.07,1.07,2025-03-29 10:23
9521676,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1085,FRIEGASUELOS 1.5L,Drogueria,3,2.43,7.29,2025-03-29 10:23
9521677,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1015,MERMELADA FRESA 350G,Alimentacion seca,4,2.07,8.28,2025-03-29 10:23
9521678,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1052,VINO BLANCO VERDEJO,Bebidas,1,5.01,5.01,2025-03-29 10:23
9521679,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1053,TONICA PACK 4,Bebidas,1,2.55,2.55,2025-03-29 10:23
9521680,6566576,101381,TARJETA,Carrefour Vigo Coia,"Av. de Citroën 116, Vigo",1023,PATATA KG,Frescos,1,1.27,1.27,2025-03-29 10:23
9521681,6566577,101775,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1024,CEBOLLA KG,Frescos,1,1.1,1.1,2025-02-27 18:29
9521682,6566577,101775,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1026,CARNE PICADA MIXTA 500G,Frescos,4,3.97,15.88,2025-02-27 18:29
9521683,6566577,101775,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1035,LECHE ENTERA BRIK 1L,Lacteos,4,0.88,3.52,2025-02-27 18:29
9521684,6566577,101775,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1004,TOMATE FRITO 400G,Alimentacion seca,1,1.11,1.11,2025-02-27 18:29
9521685,6566577,101775,EFECTIVO,Carrefour A Coruña Marineda,"C/ Carretera Baños de Arteixo 43, A Coruña",1036,LECHE SEMIDESNATADA 1L,Lacteos,3,0.93,2.79,2025-02-27 18:29
